year,1,2,3,4,5,6,7,8,9,10,11,12,anual
1991,11.604193548387098,6.110714285714286,3.2435483870967743,3.21,2.631612903225806,18.907,149.50741935483873,25.58516129032258,118.57466666666666,236.73193548387096,51.68933333333334,18.387096774193548,53.84855683563748
1992,17.764193548387098,22.574827586206894,10.326451612903226,13.794333333333332,21.44193548387097,28.793,94.30677419354839,94.87516129032258,161.82066666666665,189.78516129032258,60.082,14.903870967741934,60.87236466444197
1993,9.717096774193548,12.488214285714287,7.569032258064516,7.723,16.76774193548387,179.96566666666666,156.15258064516127,77.8167741935484,289.85566666666665,79.99709677419354,52.45633333333333,12.807741935483872,75.27641212237582
1994,8.249032258064515,6.51,5.014516129032257,3.7863333333333333,5.594516129032258,10.667666666666666,10.397096774193548,42.05129032258064,115.497,32.071935483870966,14.793000000000001,13.438064516129032,22.33920430107527
1995,7.0761290322580646,6.570714285714286,5.5283870967741935,3.026333333333333,1.8341935483870968,11.119,37.73483870967742,95.01709677419356,62.586,39.374516129032266,33.734,15.370967741935484,26.58101472094214
1996,7.659354838709677,4.508620689655173,3.1029032258064517,2.2636666666666665,2.1190322580645162,16.81566666666667,14.540645161290323,67.7641935483871,56.87266666666667,27.81451612903226,14.975666666666665,6.809677419354839,18.770550828080584
1997,4.251935483870968,3.551071428571429,5.3022580645161295,15.613,10.05483870967742,8.602,27.720967741935485,10.345483870967742,35.57133333333333,56.568064516129034,12.987666666666666,6.4635483870967745,16.419347350230414
1998,3.7735483870967745,2.836785714285714,2.041935483870968,1.3536666666666666,1.062258064516129,0.91,9.435806451612903,28.936774193548384,203.068,226.1051612903226,76.85833333333333,21.626774193548385,48.16742031490015
1999,8.647096774193548,5.0789285714285715,3.48,2.320333333333333,1.4103225806451614,10.712,94.90806451612903,25.449032258064516,103.106,276.3187096774194,17.51066666666667,9.043870967741936,46.49875211213518
2000,6.1003225806451615,4.753448275862069,3.5187096774193547,4.1226666666666665,5.119677419354839,68.63066666666667,19.804516129032258,70.74161290322581,45.542,53.7341935483871,15.603333333333333,20.513548387096773,26.51539129897417
2001,7.374193548387097,7.376428571428571,4.388387096774193,2.8006666666666664,6.84741935483871,8.881333333333334,33.5516129032258,27.21193548387097,141.549,36.81225806451613,21.482000000000003,8.731290322580646,25.58387711213518
2002,4.790645161290322,3.230357142857143,2.209032258064516,1.4996666666666667,1.5083870967741935,15.717666666666668,38.73161290322581,14.023225806451611,83.003,43.332258064516125,41.37166666666667,10.671935483870968,21.674121159754225
2003,11.14806451612903,12.328214285714285,5.593870967741935,3.3193333333333332,1.4029032258064518,4.840333333333334,15.238709677419354,42.28677419354838,199.83266666666665,90.72451612903225,51.83433333333333,12.251935483870968,37.56680459549411
2004,6.934516129032258,4.755172413793104,7.3983870967741945,11.392,26.908709677419353,56.26,26.343225806451613,39.318709677419356,41.153,58.58451612903226,11.802,5.95258064516129,24.73356813125695
2005,4.614516129032259,4.460357142857143,3.368709677419355,2.1026666666666665,5.034838709677419,10.106666666666666,33.03967741935484,130.9309677419355,74.27966666666666,171.02774193548387,28.373333333333335,12.610322580645162,39.99578872247824
2006,6.533225806451613,4.634285714285714,3.459032258064516,1.8306666666666667,2.2687096774193547,6.102,13.190967741935484,30.260967741935485,65.95066666666666,73.94064516129032,39.158,32.152903225806455,23.290172555043522
2007,10.485161290322582,29.05535714285714,8.663870967741936,6.218999999999999,2.325483870967742,6.25,6.616129032258065,94.99741935483871,168.249,87.50290322580646,21.299,16.568064516129034,38.185949116743465
2008,11.45,7.270344827586207,3.3761290322580644,2.8893333333333335,2.7277419354838712,40.419333333333334,150.05354838709678,45.59516129032258,162.49699999999999,117.04645161290323,30.082,11.815483870967741,48.7685439686071
2009,5.456774193548387,7.325357142857143,4.1896774193548385,2.5693333333333332,1.9148387096774193,4.816999999999999,17.855483870967742,7.54,134.00266666666667,112.43096774193549,26.241333333333333,18.385806451612904,28.560769905273933
2010,17.635483870967743,27.91464285714286,9.104516129032259,10.223999999999998,4.586774193548387,4.434666666666667,180.43709677419355,115.03290322580645,197.61433333333335,27.195806451612903,10.144,5.973870967741935,50.85817453917051
2011,4.5287096774193545,4.074285714285714,3.3880645161290324,1.3590000000000002,2.7719354838709673,11.456333333333333,94.78967741935485,9.659354838709678,13.450333333333333,6.578709677419355,6.289333333333333,6.123548387096775,13.70577380952381
2012,16.130322580645164,17.44,11.296129032258065,9.923666666666666,8.234838709677419,10.938666666666668,26.366451612903226,114.75709677419354,24.301666666666666,16.63290322580645,13.777666666666667,10.993870967741936,23.399439964157708
2013,12.668387096774195,11.917857142857143,10.632903225806452,9.145666666666667,12.86483870967742,35.629666666666665,39.73483870967742,49.08322580645161,195.13366666666667,42.25645161290323,87.66266666666667,23.351290322580645,44.17345494111623
2014,19.193225806451615,14.465,13.47967741935484,13.353000000000002,15.443225806451613,61.452333333333335,48.09806451612903,19.486451612903227,79.10833333333333,133.91451612903228,29.388666666666666,18.253225806451614,38.802976702508964
medio_mensual,8.631868533171028,7.701478994330328,5.179841752891052,5.925748427672955,6.689281801582471,29.423246913580247,64.19747311827958,57.629731182795695,122.20985802469134,71.50883512544804,25.592549382716047,13.054241338112307,35.02725076269504
